iter	MultiClass
0	0.690952799
1	0.6883265275
2	0.6860419923
3	0.6830717345
4	0.6795823343
5	0.6763037554
6	0.6724173822
7	0.6691529453
8	0.6674786435
9	0.6646408191
10	0.6612429344
11	0.6592132257
12	0.6566580818
13	0.6540874743
14	0.6525592535
15	0.650493179
16	0.6483848158
17	0.6462576692
18	0.6443778521
19	0.6418030919
20	0.639130245
21	0.6368170973
22	0.6336641391
23	0.6319680897
24	0.6307300171
25	0.6291625552
26	0.6260980199
27	0.6243887298
28	0.6230024844
29	0.6209358188
30	0.6196681716
31	0.6174415679
32	0.6160640774
33	0.6142720676
34	0.6125027411
35	0.6108685968
36	0.6084293802
37	0.6064269767
38	0.6042386304
39	0.6022359356
40	0.6005810859
41	0.5983437775
42	0.5972192838
43	0.5954585831
44	0.5928435208
45	0.5912296546
46	0.5897935552
47	0.5875259631
48	0.5853483291
49	0.5840064278
50	0.5826975565
51	0.5811966662
52	0.5796026975
53	0.578315803
54	0.5770635001
55	0.5756811732
56	0.5740464697
57	0.5728484044
58	0.5714908357
59	0.5699996181
60	0.5679027288
61	0.5661540687
62	0.5647445449
63	0.5624335894
64	0.561272331
65	0.5605792676
66	0.5586826383
67	0.5577179654
68	0.5561445401
69	0.554842013
70	0.5540643731
71	0.5529960731
72	0.5516057146
73	0.5503274781
74	0.5490669552
75	0.5478439785
76	0.5468784494
77	0.5455376622
78	0.5443983792
79	0.5431193783
80	0.5420489829
81	0.5410419461
82	0.5398588945
83	0.5389737295
84	0.5375160442
85	0.5364500449
86	0.5355284968
87	0.5341618839
88	0.5329661861
89	0.5318302381
90	0.5306084933
91	0.5294865975
92	0.5280747166
93	0.5270742115
94	0.5257321928
95	0.5249018796
96	0.5240502149
97	0.5227032256
98	0.5216955212
99	0.5209310266
100	0.5195906737
101	0.5180635777
102	0.516748156
103	0.5157302681
104	0.5146770567
105	0.5135108693
106	0.5123349345
107	0.5116717438
108	0.5107032282
109	0.5099253396
110	0.5092307479
111	0.508200158
112	0.5071170231
113	0.5062098828
114	0.5047514402
115	0.5041390114
116	0.5035304492
117	0.5020667838
118	0.5009780629
119	0.4999074888
120	0.4988441382
121	0.4976957265
122	0.4970174171
123	0.4962204775
124	0.4953939095
125	0.4941471805
126	0.4929119828
127	0.4920796444
128	0.4913965532
129	0.4900678932
130	0.4892395282
131	0.4883726363
132	0.4873319584
133	0.4867185314
134	0.4858842215
135	0.484483558
136	0.483543004
137	0.4827122751
138	0.4818811243
139	0.4810932981
140	0.480238704
141	0.479182265
142	0.478154751
143	0.4773589532
144	0.4766533657
145	0.4760674673
146	0.475102219
147	0.4740167343
148	0.4733711178
149	0.4727379405
150	0.4715160186
151	0.4708839507
152	0.4704981551
153	0.4692757811
154	0.4681447615
155	0.4672619511
156	0.4667168547
157	0.4654536598
158	0.4645447038
159	0.4637813033
160	0.463288102
161	0.4627313379
162	0.4618948391
163	0.4610235069
164	0.4599864394
165	0.4596424468
166	0.4587478321
167	0.4578463863
168	0.4572121009
169	0.4565320977
170	0.4557283012
171	0.4546416645
172	0.4535247017
173	0.4525151473
174	0.4517689365
175	0.4509349682
176	0.4499391598
177	0.4492293699
178	0.4485777413
179	0.4472567376
180	0.4465081871
181	0.4456335647
182	0.4447208332
183	0.4437219625
184	0.4429622716
185	0.4424598306
186	0.4414927056
187	0.4409706976
188	0.4401039834
189	0.4387699573
190	0.4380371132
191	0.4370204347
192	0.4365840768
193	0.4360087332
194	0.4352525034
195	0.4346589749
196	0.4336188785
197	0.432990284
198	0.4320831696
199	0.4314560122
200	0.4303573899
201	0.429808834
202	0.4289377901
203	0.4282855153
204	0.4277724967
205	0.4269074172
206	0.4261039465
207	0.4257166235
208	0.4248254445
209	0.4240879937
210	0.4234441221
211	0.4225796041
212	0.4216895231
213	0.4207514655
214	0.4199452311
215	0.4189743381
216	0.4182397061
217	0.4175667269
218	0.4167230809
219	0.4160365536
220	0.4153173318
221	0.4146891271
222	0.4138940132
223	0.4131329251
224	0.4127029815
225	0.4117320578
226	0.4111206243
227	0.4105991058
228	0.4100488625
229	0.4093162579
230	0.4086541086
231	0.4079201245
232	0.4073241384
233	0.4065850386
234	0.4060998326
235	0.405406247
236	0.404834527
237	0.4042560171
238	0.4035155633
239	0.4029020894
240	0.4025865018
241	0.4020160471
242	0.4017718096
243	0.4010482969
244	0.4001032628
245	0.3992669297
246	0.398744619
247	0.3979232881
248	0.3971593079
249	0.396557374
250	0.3958600793
251	0.3950777991
252	0.3945675934
253	0.3940774597
254	0.393219519
255	0.3925569516
256	0.3917968905
257	0.3908508727
258	0.3898401424
259	0.3892411792
260	0.3886468815
261	0.3880712737
262	0.3874553079
263	0.3864931317
264	0.3856016936
265	0.3850005087
266	0.3844054609
267	0.3838004359
268	0.3833085184
269	0.3828105039
270	0.3821553249
271	0.381284284
272	0.3807018267
273	0.3799037163
274	0.3795795711
275	0.3788456618
276	0.378065082
277	0.3773391437
278	0.3767292962
279	0.3760738159
280	0.3754479384
281	0.3746688882
282	0.3740820782
283	0.3730993889
284	0.3723969909
285	0.3718640596
286	0.3712324447
287	0.3707917217
288	0.3702099534
289	0.3696365605
290	0.3688155579
291	0.3681527845
292	0.367455655
293	0.3669023154
294	0.3663417434
295	0.3657545167
296	0.3646260158
297	0.3641920774
298	0.3637107882
299	0.3631635139
300	0.3629274174
301	0.3621677751
302	0.3616638002
303	0.3610841918
304	0.3607677121
305	0.3599591089
306	0.3593697853
307	0.3587809218
308	0.3580270194
309	0.3574627947
310	0.356950559
311	0.3566358192
312	0.3561004099
313	0.3553538014
314	0.3546723283
315	0.3540767864
316	0.3536007798
317	0.3530364584
318	0.3521582956
319	0.3516689994
320	0.3505844488
321	0.350036565
322	0.3494356796
323	0.3489308026
324	0.3482499084
325	0.3479211301
326	0.3472849611
327	0.3464457407
328	0.3460261884
329	0.3455201396
330	0.3451201972
331	0.3446788154
332	0.3440561416
333	0.3434943212
334	0.342893108
335	0.3426551077
336	0.3420745441
337	0.3416174753
338	0.3409735096
339	0.3405483045
340	0.3401727046
341	0.3392390017
342	0.3388554947
343	0.3384898119
344	0.3375777917
345	0.3370464212
346	0.3365460466
347	0.3358973306
348	0.33519126
349	0.3344895373
350	0.3341818902
351	0.3332928803
352	0.3325413359
353	0.3319056933
354	0.3315487865
355	0.3310664277
356	0.3303988849
357	0.3299152143
358	0.329575196
359	0.3290597
360	0.3284770219
361	0.3278922379
362	0.3273039269
363	0.3268810409
364	0.3262445836
365	0.325915804
366	0.3253710382
367	0.3246403736
368	0.324157679
369	0.3236723596
370	0.3231020846
371	0.3225535045
372	0.3219425056
373	0.3212645535
374	0.3205421479
375	0.319958726
376	0.31955435
377	0.3189692806
378	0.3183991456
379	0.3176451122
380	0.3171438913
381	0.3166496445
382	0.3159525757
383	0.3154322813
384	0.3146844187
385	0.3140631069
386	0.3135307755
387	0.3132353761
388	0.3127325729
389	0.3122715636
390	0.3116794427
391	0.3111621361
392	0.3104706098
393	0.3100138811
394	0.3094116293
395	0.3088747068
396	0.3085265019
397	0.308083129
398	0.3074853964
399	0.306970521
400	0.3065618959
401	0.3062102542
402	0.3055511266
403	0.305015824
404	0.3046863204
405	0.3043260874
406	0.3039548073
407	0.3035295059
408	0.3029805211
409	0.3026265187
410	0.3019941098
411	0.3015445945
412	0.3011995643
413	0.300738991
414	0.3002773001
415	0.2996894221
416	0.299171807
417	0.2988687222
418	0.2984440416
419	0.2980218075
420	0.2974108062
421	0.2969040954
422	0.2965989039
423	0.2958066392
424	0.2952365132
425	0.2947748856
426	0.2943994995
427	0.2941122779
428	0.2937315662
429	0.293213293
430	0.2929680455
431	0.2923917769
432	0.2920709146
433	0.2917514489
434	0.2914769946
435	0.2908822956
436	0.2905325076
437	0.2901218616
438	0.2896672054
439	0.2893331985
440	0.2889573673
441	0.2885076493
442	0.2880607581
443	0.2875671903
444	0.2869338586
445	0.2865704365
446	0.2859559866
447	0.2854932335
448	0.285075485
449	0.2844455001
450	0.2841929115
451	0.2838397212
452	0.2834882662
453	0.2831025818
454	0.2828761135
455	0.2823555228
456	0.2819498408
457	0.2814689577
458	0.2810912384
459	0.2803012583
460	0.279971811
461	0.2797027953
462	0.27896902
463	0.2783652551
464	0.2778713776
465	0.2772748397
466	0.2768493506
467	0.2763932952
468	0.2759273233
469	0.2756003965
470	0.2751723505
471	0.2747731375
472	0.2745598955
473	0.2742054872
474	0.2738862544
475	0.2734765232
476	0.27307679
477	0.2725550588
478	0.2720967028
479	0.2716414756
480	0.2713212459
481	0.2708935981
482	0.270491645
483	0.2702527749
484	0.26976795
485	0.2693360058
486	0.268863387
487	0.2685430394
488	0.2683263219
489	0.2679913358
490	0.2676098613
491	0.2672178297
492	0.2669793778
493	0.2664927865
494	0.2661445217
495	0.2658723096
496	0.2655231255
497	0.26523632
498	0.2650699054
499	0.2646377901
500	0.2644328791
501	0.2640556384
502	0.263757495
503	0.2632580956
504	0.2629062362
505	0.2623452522
506	0.2620726065
507	0.2616711471
508	0.2614047018
509	0.2611580496
510	0.2608080222
511	0.2603439618
512	0.259932922
513	0.2597213491
514	0.2595199021
515	0.2590766602
516	0.2586778676
517	0.2583542403
518	0.2579565618
519	0.2576883892
520	0.2573210751
521	0.2569203542
522	0.2566265692
523	0.2562988294
524	0.2558331948
525	0.255469694
526	0.2551913908
527	0.254836909
528	0.2544929031
529	0.2540476662
530	0.2537723122
531	0.2534154619
532	0.2529098945
533	0.252486233
534	0.2521951298
535	0.2517910518
536	0.251521695
537	0.2513271532
538	0.2510271595
539	0.2506073455
540	0.2501276
541	0.2497728676
542	0.2492341585
543	0.2488957711
544	0.2484454077
545	0.2480514524
546	0.2476686645
547	0.247275458
548	0.2469662531
549	0.2467862222
550	0.2463764459
551	0.2459745502
552	0.245729541
553	0.2452587619
554	0.2448701473
555	0.244375676
556	0.2439366706
557	0.2436116889
558	0.2432622556
559	0.2429292358
560	0.2426070199
561	0.2422068502
562	0.2416475781
563	0.2410805537
564	0.2408680035
565	0.2404332711
566	0.2401938016
567	0.2398466356
568	0.2395494475
569	0.2392439008
570	0.2388761476
571	0.2386447467
572	0.2382200608
573	0.2378591892
574	0.2374153116
575	0.2370921761
576	0.2365965474
577	0.2362100401
578	0.2360142631
579	0.235759729
580	0.2355015643
581	0.2353486228
582	0.2350809269
583	0.2347817643
584	0.2345419359
585	0.2340934777
586	0.2338375565
587	0.233482635
588	0.2332804943
589	0.2330882803
590	0.2328458697
591	0.2325674417
592	0.2321966186
593	0.2319025939
594	0.2315283842
595	0.2311705046
596	0.2306895392
597	0.2301268665
598	0.2299857899
599	0.2297171066
600	0.2294820156
601	0.2292180335
602	0.2290190074
603	0.2287285723
604	0.2284433642
605	0.2279884214
606	0.2275935891
607	0.2271631847
608	0.2269573137
609	0.226611792
610	0.2262817433
611	0.2258993123
612	0.2255228172
613	0.2253232442
614	0.2249810244
615	0.2246921934
616	0.2242556195
617	0.2239970096
618	0.2236778103
619	0.2232072358
620	0.2229742735
621	0.2225029209
622	0.2223025214
623	0.2220035662
624	0.2216869928
625	0.2213914738
626	0.2211040273
627	0.2207678833
628	0.220327349
629	0.2201197734
630	0.2198218772
631	0.2195487615
632	0.2192642093
633	0.2188718885
634	0.2186279972
635	0.2182910755
636	0.2178838801
637	0.2175828607
638	0.2172791684
639	0.2170726494
640	0.2167870839
641	0.2164689164
642	0.2159578291
643	0.2155485407
644	0.2152930141
645	0.2150985338
646	0.2148859741
647	0.2144665909
648	0.2142579973
649	0.2139504159
650	0.2136877114
651	0.2134027057
652	0.2131167635
653	0.212735074
654	0.2124776982
655	0.2122489612
656	0.2119998813
657	0.2118012573
658	0.2115493879
659	0.2111195
660	0.2107527838
661	0.2104749946
662	0.2101472515
663	0.2098584506
664	0.2095580268
665	0.209358706
666	0.209196818
667	0.2088207287
668	0.2086136459
669	0.2083291161
670	0.2079333866
671	0.2077282707
672	0.207428932
673	0.2070992161
674	0.2067917498
675	0.2066595879
676	0.2064765914
677	0.2062128373
678	0.2060627987
679	0.2057705008
680	0.2054273411
681	0.2049830784
682	0.2047393073
683	0.2045077632
684	0.2042969109
685	0.203990285
686	0.2037340066
687	0.2034454469
688	0.2032355541
689	0.2028576082
