iter	Passed	Remaining
0	6	19351
1	12	19362
2	19	19254
3	25	19258
4	31	18806
5	37	18625
6	43	18519
7	49	18409
8	54	18154
9	60	17942
10	66	17948
11	71	17851
12	77	17872
13	83	17778
14	88	17634
15	94	17595
16	99	17505
17	105	17491
18	110	17395
19	116	17411
20	122	17375
21	127	17323
22	133	17300
23	139	17256
24	144	17201
25	149	17143
26	155	17171
27	161	17184
28	167	17154
29	172	17119
30	178	17062
31	183	17058
32	189	17068
33	195	17049
34	201	17031
35	207	17057
36	213	17076
37	219	17074
38	225	17114
39	231	17133
40	237	17165
41	243	17160
42	249	17133
43	255	17133
44	260	17127
45	266	17120
46	272	17120
47	278	17146
48	284	17132
49	289	17092
50	295	17079
51	300	17056
52	306	17027
53	312	17034
54	317	17026
55	323	17024
56	330	17039
57	335	17043
58	342	17058
59	348	17059
60	354	17072
61	360	17069
62	365	17052
63	371	17040
64	377	17035
65	382	17024
66	388	17006
67	393	16982
68	399	16958
69	404	16946
70	410	16941
71	416	16930
72	421	16913
73	427	16911
74	433	16905
75	439	16900
76	445	16896
77	450	16886
78	456	16874
79	462	16877
80	467	16862
81	473	16839
82	478	16809
83	483	16792
84	488	16756
85	494	16742
86	499	16722
87	505	16711
88	510	16690
89	515	16665
90	520	16633
91	525	16605
92	531	16598
93	536	16583
94	541	16563
95	547	16554
96	552	16535
97	557	16506
98	562	16483
99	567	16459
100	572	16440
101	577	16415
102	582	16379
103	587	16359
104	593	16351
105	598	16344
106	604	16331
107	609	16328
108	615	16315
109	620	16300
110	625	16271
111	630	16247
112	635	16240
113	641	16239
114	647	16236
115	652	16216
116	657	16191
117	662	16175
118	667	16151
119	672	16141
120	677	16129
121	683	16120
122	688	16106
123	693	16094
124	698	16072
125	704	16061
126	709	16046
127	715	16050
128	720	16044
129	726	16034
130	732	16038
131	737	16033
132	742	16016
133	748	16003
134	753	15983
135	758	15969
136	763	15952
137	769	15949
138	774	15941
139	780	15942
140	785	15931
141	791	15920
142	796	15916
143	802	15921
144	808	15918
145	814	15918
146	819	15911
147	825	15906
148	831	15910
149	836	15898
150	841	15883
151	847	15874
152	853	15875
153	858	15866
154	864	15858
155	870	15865
156	876	15863
157	881	15853
158	887	15851
159	892	15849
160	898	15847
161	904	15839
162	910	15839
163	915	15830
164	920	15821
165	926	15818
166	932	15812
167	938	15813
168	943	15806
169	949	15805
170	955	15806
171	961	15805
172	966	15800
173	972	15797
174	978	15789
175	983	15784
176	989	15777
177	994	15772
178	1000	15764
179	1005	15754
180	1011	15747
181	1016	15739
182	1021	15727
183	1027	15721
184	1032	15711
185	1038	15707
186	1044	15708
187	1049	15697
188	1054	15690
189	1060	15679
190	1065	15672
191	1071	15664
192	1076	15656
193	1081	15646
194	1086	15634
195	1092	15624
196	1097	15619
197	1103	15616
198	1109	15615
199	1114	15605
200	1120	15599
201	1125	15588
202	1129	15569
203	1135	15567
204	1141	15567
205	1147	15559
206	1152	15552
207	1157	15543
208	1162	15529
209	1168	15518
210	1173	15509
211	1178	15499
212	1184	15494
213	1189	15491
214	1195	15483
215	1200	15471
216	1205	15464
217	1210	15451
218	1216	15442
219	1221	15432
220	1226	15427
221	1231	15413
222	1236	15399
223	1242	15398
224	1247	15389
225	1253	15383
226	1259	15384
227	1265	15380
228	1270	15378
229	1276	15368
230	1281	15356
231	1285	15340
232	1290	15331
233	1296	15326
234	1302	15320
235	1307	15313
236	1312	15302
237	1318	15295
238	1323	15292
239	1329	15289
240	1335	15285
241	1340	15282
242	1346	15278
243	1352	15279
244	1358	15273
245	1363	15267
246	1369	15259
247	1374	15249
248	1379	15244
249	1385	15244
250	1391	15242
251	1397	15238
252	1402	15232
253	1408	15227
254	1413	15217
255	1419	15212
256	1424	15205
257	1429	15191
258	1434	15182
259	1440	15177
260	1445	15169
261	1451	15165
262	1456	15159
263	1461	15149
264	1467	15144
265	1472	15133
266	1477	15124
267	1482	15117
268	1488	15107
269	1493	15097
270	1498	15090
271	1504	15087
272	1509	15079
273	1514	15070
274	1520	15063
275	1525	15058
276	1531	15058
277	1536	15046
278	1541	15038
279	1546	15025
280	1552	15024
281	1557	15014
282	1563	15008
283	1568	15004
284	1573	14992
285	1579	14992
286	1585	14984
287	1590	14973
288	1595	14968
289	1601	14962
290	1607	14960
291	1612	14956
292	1618	14952
293	1623	14942
294	1628	14935
295	1633	14925
296	1639	14916
297	1644	14907
298	1648	14894
299	1654	14891
300	1660	14886
301	1665	14879
302	1670	14870
303	1675	14861
304	1681	14853
305	1686	14846
306	1691	14840
307	1696	14829
308	1701	14819
309	1706	14812
310	1712	14806
311	1717	14800
312	1723	14795
313	1729	14790
314	1734	14785
315	1740	14781
316	1745	14777
317	1751	14770
318	1756	14764
319	1762	14757
320	1767	14747
321	1771	14737
322	1777	14729
323	1782	14724
324	1788	14722
325	1794	14718
326	1799	14710
327	1804	14701
328	1810	14696
329	1815	14690
330	1821	14689
331	1827	14683
332	1833	14685
333	1840	14689
334	1846	14691
335	1852	14688
336	1858	14688
337	1864	14688
338	1871	14688
339	1877	14689
340	1883	14686
341	1890	14690
342	1896	14691
343	1901	14682
344	1907	14676
345	1911	14665
346	1917	14659
347	1922	14654
348	1928	14648
349	1933	14640
350	1938	14632
351	1944	14625
352	1949	14621
353	1955	14619
354	1961	14611
355	1966	14602
356	1971	14595
357	1976	14588
358	1982	14581
359	1987	14576
360	1993	14571
361	1999	14568
362	2005	14565
363	2010	14557
364	2015	14552
365	2021	14547
366	2026	14540
367	2032	14534
368	2037	14529
369	2043	14522
370	2048	14515
371	2054	14510
372	2059	14507
373	2064	14499
374	2070	14490
375	2075	14484
376	2081	14478
377	2086	14472
378	2092	14467
379	2097	14461
380	2103	14456
381	2108	14452
382	2113	14444
383	2119	14440
384	2124	14430
385	2130	14425
386	2135	14418
387	2140	14409
388	2145	14401
389	2151	14398
390	2157	14395
391	2163	14392
392	2168	14386
393	2174	14381
394	2179	14376
395	2185	14371
396	2191	14366
397	2196	14362
398	2202	14357
399	2207	14351
400	2213	14345
401	2219	14342
402	2225	14338
403	2230	14331
404	2236	14328
405	2241	14320
406	2247	14317
407	2252	14310
408	2258	14304
409	2262	14294
410	2268	14289
411	2274	14290
412	2280	14286
413	2286	14280
414	2291	14276
415	2297	14269
416	2302	14263
417	2307	14254
418	2313	14248
419	2318	14239
420	2323	14230
421	2328	14224
422	2333	14216
423	2338	14207
424	2343	14200
425	2349	14196
426	2355	14194
427	2361	14190
428	2366	14185
429	2372	14181
430	2377	14173
431	2383	14170
432	2389	14164
433	2394	14156
434	2399	14149
435	2404	14141
436	2410	14134
437	2415	14130
438	2420	14122
439	2426	14117
440	2432	14114
441	2438	14113
442	2445	14113
443	2450	14109
444	2456	14103
445	2462	14098
446	2467	14095
447	2473	14090
448	2479	14085
449	2484	14079
450	2493	14092
451	2499	14091
452	2504	14083
453	2510	14077
454	2515	14069
455	2520	14061
456	2525	14054
457	2531	14051
458	2536	14043
459	2542	14037
460	2547	14031
461	2553	14027
462	2559	14022
463	2564	14014
464	2570	14012
465	2575	14004
466	2580	13997
467	2586	13992
468	2591	13985
469	2596	13977
470	2602	13976
471	2608	13973
472	2614	13969
473	2620	13964
474	2625	13957
475	2630	13950
476	2636	13945
477	2642	13940
478	2647	13933
479	2652	13928
480	2658	13923
481	2664	13919
482	2670	13916
483	2675	13910
484	2681	13903
485	2686	13897
486	2691	13889
487	2697	13885
488	2703	13880
489	2708	13872
490	2713	13865
491	2718	13858
492	2724	13852
493	2729	13846
494	2734	13838
495	2739	13830
496	2744	13822
497	2749	13815
498	2755	13808
499	2759	13799
500	2765	13793
501	2771	13789
502	2776	13781
503	2781	13775
504	2786	13769
505	2792	13764
506	2798	13759
507	2804	13755
508	2809	13749
509	2814	13742
510	2820	13736
511	2825	13730
512	2830	13724
513	2835	13713
514	2840	13708
515	2846	13704
516	2852	13700
517	2858	13697
518	2864	13692
519	2870	13688
520	2875	13683
521	2881	13679
522	2886	13672
523	2892	13666
524	2897	13660
525	2903	13657
526	2909	13651
527	2915	13648
528	2921	13645
529	2925	13635
530	2931	13632
531	2936	13624
532	2942	13617
533	2947	13610
534	2952	13605
535	2958	13601
536	2964	13595
537	2969	13590
538	2975	13587
539	2981	13583
540	2987	13577
541	2992	13572
542	2998	13566
543	3003	13561
544	3009	13555
545	3014	13548
546	3019	13542
547	3025	13535
548	3030	13528
549	3035	13522
550	3040	13515
551	3047	13513
552	3052	13508
553	3057	13500
554	3063	13496
555	3069	13492
556	3075	13487
557	3080	13482
558	3085	13474
559	3090	13467
560	3096	13461
561	3101	13456
562	3107	13449
563	3112	13443
564	3118	13438
565	3123	13433
566	3129	13428
567	3134	13421
568	3140	13416
569	3145	13408
570	3151	13405
571	3156	13399
572	3162	13395
573	3167	13388
574	3173	13382
575	3178	13377
576	3184	13372
577	3189	13365
578	3194	13358
579	3199	13351
580	3205	13344
581	3210	13339
582	3216	13333
583	3221	13326
584	3226	13319
585	3232	13315
586	3238	13310
587	3243	13305
588	3248	13298
589	3253	13290
590	3259	13284
591	3264	13277
592	3269	13271
593	3275	13265
594	3281	13262
595	3286	13257
596	3292	13251
597	3297	13246
598	3303	13242
599	3309	13237
600	3315	13233
601	3320	13226
602	3325	13219
603	3330	13210
604	3336	13206
605	3341	13199
606	3346	13193
607	3351	13187
608	3357	13181
609	3363	13177
610	3369	13173
611	3375	13169
612	3381	13168
613	3388	13168
614	3395	13167
615	3401	13165
616	3408	13165
617	3415	13162
618	3420	13158
619	3427	13156
620	3434	13157
621	3440	13153
622	3446	13148
623	3452	13147
624	3458	13141
625	3463	13136
626	3469	13129
627	3475	13125
628	3480	13120
629	3486	13114
630	3491	13108
631	3497	13104
632	3502	13097
633	3508	13093
634	3514	13089
635	3519	13081
636	3525	13076
637	3530	13069
638	3536	13065
639	3541	13058
640	3547	13054
641	3553	13050
642	3558	13044
643	3564	13039
644	3569	13033
645	3575	13028
646	3581	13023
647	3586	13018
648	3592	13014
649	3597	13008
650	3603	13001
651	3609	12997
652	3614	12991
653	3620	12986
654	3626	12984
655	3632	12981
656	3638	12977
657	3645	12975
658	3651	12971
659	3658	12969
660	3664	12967
661	3670	12964
662	3677	12961
663	3683	12959
664	3689	12956
665	3695	12951
666	3701	12946
667	3707	12941
668	3712	12936
669	3718	12930
670	3723	12924
671	3729	12918
672	3734	12913
673	3740	12907
674	3745	12902
675	3750	12895
676	3756	12889
677	3761	12883
678	3766	12875
679	3772	12870
680	3778	12866
681	3784	12863
682	3789	12856
683	3795	12850
684	3800	12843
685	3805	12837
686	3811	12831
687	3816	12825
688	3822	12820
689	3827	12814
690	3833	12810
691	3839	12804
692	3844	12798
693	3849	12792
694	3855	12786
695	3860	12780
696	3866	12774
697	3871	12769
698	3877	12764
699	3882	12758
700	3888	12751
701	3894	12747
702	3899	12741
703	3904	12735
704	3910	12730
705	3916	12724
706	3921	12718
707	3927	12713
708	3932	12708
709	3938	12704
710	3944	12698
711	3950	12694
712	3955	12688
713	3961	12683
714	3967	12678
715	3974	12678
716	3980	12673
717	3985	12667
718	3991	12663
719	4004	12680
720	4009	12674
721	4015	12669
722	4021	12664
723	4027	12660
724	4033	12657
725	4039	12651
726	4044	12645
727	4050	12641
728	4056	12636
729	4061	12630
730	4067	12623
731	4072	12617
732	4078	12612
733	4083	12607
734	4089	12602
735	4095	12598
736	4101	12592
737	4106	12586
738	4112	12582
739	4118	12577
740	4124	12572
741	4129	12566
742	4135	12561
743	4140	12556
744	4146	12550
745	4151	12544
746	4157	12539
747	4162	12533
748	4168	12528
749	4173	12521
750	4179	12517
751	4185	12512
752	4191	12508
753	4197	12502
754	4202	12497
755	4208	12491
756	4214	12487
757	4220	12482
758	4225	12477
759	4231	12471
760	4236	12464
761	4241	12458
762	4247	12453
763	4252	12446
764	4258	12440
765	4263	12434
766	4268	12428
767	4274	12424
768	4281	12420
769	4286	12415
770	4292	12409
771	4297	12402
772	4302	12396
773	4308	12390
774	4313	12384
775	4318	12377
776	4324	12371
777	4329	12365
778	4335	12360
779	4341	12355
780	4346	12348
781	4351	12343
782	4357	12337
783	4362	12331
784	4368	12325
785	4373	12320
786	4379	12313
787	4384	12308
788	4390	12302
789	4395	12296
790	4400	12290
791	4405	12282
792	4411	12276
793	4416	12269
794	4421	12263
795	4427	12257
796	4432	12252
797	4438	12246
798	4443	12240
799	4448	12233
800	4453	12226
801	4459	12221
802	4464	12214
803	4469	12208
804	4474	12201
805	4481	12197
806	4486	12191
807	4491	12185
808	4497	12180
809	4502	12174
810	4508	12170
811	4514	12165
812	4520	12161
813	4525	12154
814	4531	12148
815	4537	12144
816	4542	12137
817	4547	12131
818	4553	12125
819	4558	12118
820	4564	12113
821	4569	12106
822	4574	12101
823	4580	12096
824	4585	12089
825	4591	12085
826	4597	12080
827	4602	12074
828	4608	12069
829	4614	12063
830	4619	12057
831	4624	12051
832	4629	12044
833	4635	12038
834	4640	12033
835	4646	12026
836	4651	12021
837	4657	12015
838	4662	12009
839	4668	12004
840	4674	11999
841	4680	11995
842	4686	11990
843	4693	11988
844	4699	11985
845	4706	11982
846	4712	11978
847	4718	11974
848	4724	11969
849	4731	11967
850	4737	11964
851	4744	11962
852	4750	11957
853	4756	11951
854	4761	11946
855	4767	11940
856	4772	11934
857	4778	11930
858	4784	11925
859	4790	11920
860	4795	11914
861	4800	11907
862	4806	11902
863	4811	11896
864	4817	11890
865	4822	11883
866	4828	11879
867	4834	11874
868	4839	11868
869	4845	11863
870	4850	11856
871	4856	11850
872	4861	11844
873	4867	11839
874	4872	11833
875	4878	11829
876	4884	11823
877	4889	11817
878	4895	11812
879	4900	11805
880	4905	11799
881	4910	11792
882	4916	11787
883	4921	11780
884	4927	11774
885	4932	11769
886	4938	11764
887	4944	11759
888	4950	11755
889	4955	11748
890	4961	11742
891	4966	11736
892	4971	11730
893	4977	11724
894	4983	11721
895	4989	11717
896	4996	11714
897	5003	11711
898	5009	11708
899	5016	11704
900	5022	11701
901	5029	11697
902	5035	11694
903	5042	11690
904	5048	11685
905	5054	11681
906	5060	11678
907	5066	11672
908	5072	11668
909	5077	11662
910	5083	11656
911	5088	11651
912	5094	11645
913	5100	11639
914	5105	11634
915	5110	11627
916	5115	11620
917	5121	11616
918	5128	11612
919	5133	11606
920	5139	11600
921	5144	11594
922	5150	11589
923	5155	11583
924	5161	11577
925	5166	11571
926	5171	11564
927	5176	11558
928	5182	11552
929	5187	11546
930	5193	11541
931	5198	11534
932	5203	11527
933	5208	11522
934	5214	11516
935	5220	11511
936	5226	11506
937	5232	11503
938	5238	11498
939	5244	11493
940	5250	11487
941	5256	11483
942	5262	11478
943	5268	11473
944	5273	11468
945	5279	11463
946	5287	11463
947	5296	11464
948	5304	11463
949	5311	11461
950	5317	11457
951	5323	11451
952	5329	11446
953	5334	11441
954	5340	11435
955	5346	11430
956	5351	11424
957	5356	11418
958	5361	11411
959	5367	11405
960	5372	11398
961	5377	11392
962	5383	11388
963	5389	11381
964	5394	11377
965	5401	11373
966	5407	11367
967	5412	11362
968	5418	11356
969	5423	11350
970	5429	11344
971	5434	11338
972	5439	11332
973	5444	11325
974	5449	11318
975	5454	11312
976	5459	11304
977	5465	11298
978	5471	11294
979	5476	11288
980	5482	11283
981	5487	11276
982	5492	11270
983	5499	11266
984	5504	11261
985	5510	11255
986	5516	11250
987	5521	11244
988	5526	11238
989	5532	11232
990	5538	11227
991	5543	11221
992	5549	11216
993	5555	11210
994	5561	11206
995	5566	11200
996	5572	11195
997	5578	11189
998	5583	11183
999	5588	11177
1000	5594	11172
1001	5600	11168
1002	5605	11161
1003	5611	11156
1004	5617	11151
1005	5622	11145
1006	5628	11139
1007	5633	11132
1008	5638	11126
1009	5644	11121
1010	5649	11115
1011	5655	11109
1012	5661	11104
1013	5666	11099
1014	5672	11093
1015	5677	11086
1016	5681	11078
1017	5687	11073
1018	5692	11067
1019	5698	11061
1020	5704	11056
1021	5710	11051
1022	5715	11045
1023	5720	11038
1024	5725	11032
1025	5731	11026
1026	5736	11021
1027	5742	11015
1028	5747	11009
1029	5752	11002
1030	5757	10995
1031	5763	10990
1032	5769	10986
1033	5775	10980
1034	5780	10975
1035	5786	10969
1036	5791	10963
1037	5797	10958
1038	5802	10952
1039	5808	10947
1040	5814	10941
1041	5821	10938
1042	5826	10932
1043	5832	10928
1044	5838	10922
1045	5844	10917
1046	5849	10911
1047	5855	10906
1048	5861	10900
1049	5866	10894
1050	5871	10889
1051	5877	10883
1052	5882	10876
1053	5887	10870
1054	5894	10866
1055	5899	10860
1056	5905	10856
1057	5911	10850
1058	5916	10844
1059	5922	10839
1060	5928	10834
1061	5933	10828
1062	5940	10823
1063	5945	10818
1064	5950	10812
1065	5956	10806
1066	5961	10800
1067	5967	10795
1068	5973	10789
1069	5978	10783
1070	5984	10778
1071	5989	10772
1072	5995	10767
1073	6001	10761
1074	6006	10756
1075	6012	10751
1076	6017	10745
1077	6023	10739
1078	6029	10733
1079	6035	10729
1080	6041	10724
1081	6047	10719
1082	6052	10714
1083	6058	10708
1084	6063	10702
1085	6068	10695
1086	6074	10690
1087	6080	10684
1088	6085	10679
1089	6091	10673
1090	6096	10668
1091	6103	10664
1092	6109	10658
1093	6114	10652
1094	6120	10647
1095	6125	10641
1096	6131	10636
1097	6136	10630
1098	6142	10624
1099	6147	10618
1100	6153	10613
1101	6159	10608
1102	6164	10602
1103	6170	10596
1104	6175	10590
1105	6181	10585
1106	6186	10579
1107	6192	10574
1108	6198	10569
1109	6204	10564
1110	6209	10558
1111	6215	10553
1112	6220	10547
1113	6227	10542
1114	6232	10536
1115	6237	10529
1116	6243	10524
1117	6248	10518
1118	6253	10512
1119	6259	10507
1120	6264	10501
1121	6269	10494
1122	6275	10488
1123	6281	10484
1124	6287	10479
1125	6293	10474
1126	6300	10470
1127	6305	10464
1128	6310	10458
1129	6316	10452
1130	6321	10446
1131	6327	10440
1132	6332	10435
1133	6338	10430
1134	6344	10424
1135	6350	10419
1136	6355	10413
1137	6361	10408
1138	6366	10402
1139	6372	10397
1140	6378	10392
1141	6384	10386
1142	6390	10381
1143	6395	10376
1144	6401	10371
1145	6406	10364
1146	6412	10359
1147	6418	10353
1148	6423	10348
1149	6428	10342
1150	6434	10336
1151	6439	10330
1152	6446	10325
1153	6452	10321
1154	6457	10315
1155	6462	10309
1156	6468	10303
1157	6473	10297
1158	6479	10292
1159	6485	10287
1160	6491	10282
1161	6497	10277
1162	6503	10272
1163	6508	10266
1164	6514	10261
1165	6520	10256
1166	6525	10250
1167	6531	10244
1168	6537	10239
1169	6542	10233
1170	6548	10228
1171	6554	10223
1172	6560	10218
1173	6566	10213
1174	6572	10208
1175	6578	10202
1176	6583	10197
1177	6589	10192
1178	6595	10186
1179	6601	10181
1180	6607	10176
1181	6612	10170
1182	6617	10164
1183	6623	10159
1184	6629	10154
1185	6635	10148
1186	6640	10142
1187	6646	10138
1188	6652	10133
1189	6657	10126
1190	6664	10121
1191	6670	10117
1192	6676	10112
1193	6682	10107
1194	6687	10101
1195	6694	10097
1196	6700	10092
1197	6705	10086
1198	6711	10081
1199	6717	10076
1200	6723	10071
1201	6729	10065
1202	6734	10060
1203	6740	10054
1204	6746	10049
1205	6752	10044
1206	6758	10039
1207	6764	10034
1208	6769	10028
1209	6775	10023
1210	6781	10018
1211	6787	10013
1212	6792	10007
1213	6798	10002
1214	6804	9996
1215	6809	9990
1216	6815	9985
1217	6821	9979
1218	6827	9974
1219	6833	9969
1220	6839	9964
1221	6845	9959
1222	6850	9954
1223	6856	9949
1224	6863	9944
1225	6868	9938
1226	6874	9933
1227	6880	9927
1228	6885	9922
1229	6891	9916
1230	6897	9911
1231	6903	9906
1232	6909	9901
1233	6914	9896
1234	6920	9890
1235	6926	9885
1236	6933	9881
1237	6939	9876
1238	6945	9871
1239	6952	9868
1240	6958	9862
1241	6963	9857
1242	6969	9852
1243	6975	9846
1244	6981	9841
1245	6986	9835
1246	6992	9830
1247	6998	9824
1248	7003	9817
1249	7009	9812
1250	7014	9807
1251	7020	9801
1252	7026	9796
1253	7031	9790
1254	7037	9785
1255	7043	9780
1256	7049	9774
1257	7054	9769
1258	7060	9763
1259	7066	9758
1260	7071	9752
1261	7077	9746
1262	7082	9740
1263	7087	9734
1264	7093	9729
1265	7099	9723
1266	7104	9717
1267	7110	9711
1268	7115	9705
1269	7120	9699
1270	7126	9694
1271	7132	9689
1272	7138	9683
1273	7143	9677
1274	7149	9672
1275	7155	9667
1276	7160	9661
1277	7165	9655
1278	7171	9649
1279	7176	9643
1280	7182	9637
1281	7187	9631
1282	7192	9626
1283	7198	9620
1284	7204	9615
1285	7210	9609
1286	7215	9603
1287	7220	9597
1288	7225	9591
1289	7231	9585
1290	7236	9579
1291	7242	9574
1292	7248	9568
1293	7253	9563
1294	7259	9557
1295	7265	9552
1296	7270	9546
1297	7276	9541
1298	7281	9535
1299	7286	9529
1300	7292	9523
1301	7298	9518
1302	7303	9512
1303	7309	9506
1304	7314	9500
1305	7320	9494
1306	7325	9489
1307	7330	9483
1308	7336	9477
1309	7343	9473
1310	7348	9467
1311	7355	9463
1312	7361	9457
1313	7366	9451
1314	7372	9446
1315	7377	9440
1316	7383	9435
1317	7388	9429
1318	7394	9424
1319	7400	9418
1320	7406	9413
1321	7411	9407
1322	7416	9401
1323	7422	9395
1324	7427	9389
1325	7434	9385
1326	7439	9379
1327	7446	9375
1328	7452	9370
1329	7458	9364
1330	7464	9359
